            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2456879.500000000, A.D. 2014-Aug-10 00:00:00.0000,  6.825637949938965E-01,  8.027256901140440E+07,  8.445200542881794E+00,  2.498392887781596E+01,  2.620157523638919E+02,  2.456900496324404E+06,  5.190538227324983E-06,  3.505839358071946E+02,  3.013308589314148E+02,  2.528777995246662E+08,  4.254830300379280E+08,  6.935696920693542E+07,
2456880.500000000, A.D. 2014-Aug-11 00:00:00.0000,  6.825639659360071E-01,  8.027257328519318E+07,  8.445199936935138E+00,  2.498392700467955E+01,  2.620157422994141E+02,  2.456900496319941E+06,  5.190533620078204E-06,  3.510324082714387E+02,  3.034737203108199E+02,  2.528779491650616E+08,  4.254833250449301E+08,  6.935703076990685E+07,
2456881.500000000, A.D. 2014-Aug-12 00:00:00.0000,  6.825641419281193E-01,  8.027257745235896E+07,  8.445199324498027E+00,  2.498392491694405E+01,  2.620157324101220E+02,  2.456900496315483E+06,  5.190528899312774E-06,  3.514808801237119E+02,  3.056849819275632E+02,  2.528781024926990E+08,  4.254836275330391E+08,  6.935709384985103E+07,
2456882.500000000, A.D. 2014-Aug-13 00:00:00.0000,  6.825643224551929E-01,  8.027258149626517E+07,  8.445198707956298E+00,  2.498392260518078E+01,  2.620157227453524E+02,  2.456900496311046E+06,  5.190524079274841E-06,  3.519293513050606E+02,  3.079660421853062E+02,  2.528782590448878E+08,  4.254839365935103E+08,  6.935715825641541E+07,
2456883.500000000, A.D. 2014-Aug-14 00:00:00.0000,  6.825645070104066E-01,  8.027258540215090E+07,  8.445198089786858E+00,  2.498392006036777E+01,  2.620157133498747E+02,  2.456900496306645E+06,  5.190519173827062E-06,  3.523778217627900E+02,  3.103180577815077E+02,  2.528784183713902E+08,  4.254842513406295E+08,  6.935722380437054E+07,
2456884.500000000, A.D. 2014-Aug-15 00:00:00.0000,  6.825646950947167E-01,  8.027258915674739E+07,  8.445197472571456E+00,  2.498391727398818E+01,  2.620157042642314E+02,  2.456900496302293E+06,  5.190514196496563E-06,  3.528262914501639E+02,  3.127418912701930E+02,  2.528785800328641E+08,  4.254845709089808E+08,  6.935729031296918E+07,
2456885.500000000, A.D. 2014-Aug-16 00:00:00.0000,  6.825648862167260E-01,  8.027259274800549E+07,  8.445196859005119E+00,  2.498391423813309E+01,  2.620156955249243E+02,  2.456900496298002E+06,  5.190509160504596E-06,  3.532747603261682E+02,  3.152380545294189E+02,  2.528787435998993E+08,  4.254848944517931E+08,  6.935735760554993E+07,
2456886.500000000, A.D. 2014-Aug-17 00:00:00.0000,  6.825650798935011E-01,  8.027259616490820E+07,  8.445196251899725E+00,  2.498391094560541E+01,  2.620156871644595E+02,  2.456900496293782E+06,  5.190504078764705E-06,  3.537232283553455E+02,  3.178066490612217E+02,  2.528789086530772E+08,  4.254852211412461E+08,  6.935742550956185E+07,
2456887.500000000, A.D. 2014-Aug-18 00:00:00.0000,  6.825652756526513E-01,  8.027259939733687E+07,  8.445195654183191E+00,  2.498390739002163E+01,  2.620156792112887E+02,  2.456900496289642E+06,  5.190498963844711E-06,  3.541716955076827E+02,  3.204473044710411E+02,  2.528790747842054E+08,  4.254855501710739E+08,  6.935749385707237E+07,
2456888.500000000, A.D. 2014-Aug-19 00:00:00.0000,  6.825654730358437E-01,  8.027260243596330E+07,  8.445195068894620E+00,  2.498390356590722E+01,  2.620156716897016E+02,  2.456900496285590E+06,  5.190493827890920E-06,  3.546201617585269E+02,  3.231591169371963E+02,  2.528792415987799E+08,  4.254858807615964E+08,  6.935756248578002E+07,
2456889.500000000, A.D. 2014-Aug-20 00:00:00.0000,  6.825656716035337E-01,  8.027260527215204E+07,  8.445194499175837E+00,  2.498389946878084E+01,  2.620156646197108E+02,  2.456900496281633E+06,  5.190488682521633E-06,  3.550686270884931E+02,  3.259405899631720E+02,  2.528794087194432E+08,  4.254862121667345E+08,  6.935763124043755E+07,
2456890.500000000, A.D. 2014-Aug-21 00:00:00.0000,  6.825658709409665E-01,  8.027260789785931E+07,  8.445193948259316E+00,  2.498389509522048E+01,  2.620156580169804E+02,  2.456900496277775E+06,  5.190483538689695E-06,  3.555170914833389E+02,  3.287895801678450E+02,  2.528795757904498E+08,  4.254865436830404E+08,  6.935769997468863E+07,
2456891.500000000, A.D. 2014-Aug-22 00:00:00.0000,  6.825660706646197E-01,  8.027261030552834E+07,  8.445193419453389E+00,  2.498389044290623E+01,  2.620156518928319E+02,  2.456900496274021E+06,  5.190478406534686E-06,  3.559655549337668E+02,  3.317032512604513E+02,  2.528797424824662E+08,  4.254868746594041E+08,  6.935776855304295E+07,
2456892.500000000, A.D. 2014-Aug-23 00:00:00.0000,  6.825662704292027E-01,  8.027261248798141E+07,  8.445192916125004E+00,  2.498388551063056E+01,  2.620156462543566E+02,  2.456900496270373E+06,  5.190473295221680E-06,  3.564140174351462E+02,  3.346780396069017E+02,  2.528799084978090E+08,  4.254872045076365E+08,  6.935783685303108E+07,
2456893.500000000, A.D. 2014-Aug-24 00:00:00.0000,  6.825664699342802E-01,  8.027261443831712E+07,  8.445192441681641E+00,  2.498388029827438E+01,  2.620156411046354E+02,  2.456900496266834E+06,  5.190468212788790E-06,  3.568624789871324E+02,  3.377096348559625E+02,  2.528800735753963E+08,  4.254875327124755E+08,  6.935790476724167E+07,
2456894.500000000, A.D. 2014-Aug-25 00:00:00.0000,  6.825666689307233E-01,  8.027261614981818E+07,  8.445191999553359E+00,  2.498387480674152E+01,  2.620156364430716E+02,  2.456900496263405E+06,  5.190463165997807E-06,  3.573109395931929E+02,  3.407929788953352E+02,  2.528802374955999E+08,  4.254878588413816E+08,  6.935797220531747E+07,
2456895.500000000, A.D. 2014-Aug-26 00:00:00.0000,  6.825668672262346E-01,  8.027261761587635E+07,  8.445191593176785E+00,  2.498386903785394E+01,  2.620156322658141E+02,  2.456900496260086E+06,  5.190458160206084E-06,  3.577593992600364E+02,  3.439222859011610E+02,  2.528804000844064E+08,  4.254881825529364E+08,  6.935803909566750E+07,
2456896.500000000, A.D. 2014-Aug-27 00:00:00.0000,  6.825670646906109E-01,  8.027261882993509E+07,  8.445191225982667E+00,  2.498386299420933E+01,  2.620156285662546E+02,  2.456900496256877E+06,  5.190453199242957E-06,  3.582078579969676E+02,  3.470910854095960E+02,  2.528805612174318E+08,  4.254885036049285E+08,  6.935810538711862E+07,
