"signature__source","signature__version","count","fields","data__001","data__002","data__003","data__004","data__005","data__006","data__007","data__008","data__009","data__010","data__011"
"NASA/JPL SBDB Close Approach Data API","1.4","491","des","152680","35","2420498.000375301","1914-Dec-31 12:01","0.0015574336824844","0.00155319713601045","0.00156167145646694","21.1045856776594","21.023365778068","< 00:01","19.4"
"","","","orbit_id","163132","124","2424393.484917308","1925-Aug-30 23:38","0.00231903745834309","0.00231373794183209","0.00232436479628465","26.4761515050258","26.4327198787829","< 00:01","18.42"
"","","","jd","308635","135","2455874.478458848","2011-Nov-08 23:29","0.00217202725316259","0.00217202298799098","0.00217203151835729","13.7164974835211","13.6267697546619","< 00:01","21.65"
"","","","cd","458732","82","2421854.433530628","1918-Sep-17 22:24","0.00233967337205527","0.00233857823663232","0.00234088943003291","12.9886132943755","12.9006365974032","00:04","17.98"
"","","","dist","1991 BA","12","2448275.221282963","1991-Jan-18 17:19","0.00112446043413181","0.000929412966091522","0.00131854503214437","17.8888069342035","17.7558522302169","00:02","28.6"
"","","","dist_min","1993 KA2","13","2449128.359670958","1993-May-20 20:38","0.000997392179898225","0.000993261104067781","0.00100152301049916","24.0496273880613","23.9382891102778","< 00:01","29.0"
"","","","dist_max","1994 ES1","13","2449427.219575344","1994-Mar-15 17:16","0.00112895189306538","0.00112551333269192","0.00113239014852898","18.6634607599846","18.5365718707926","< 00:01","28.5"
"","","","v_rel","1994 XM1","10","2449696.288091836","1994-Dec-09 18:55","0.000703840697550953","0.00068622480304322","0.000721426776786566","11.3160323028891","10.9763987840976","00:02","28.2"
"","","","v_inf","2002 JE9","51","2441052.606287679","1971-Apr-11 02:33","0.00178820175890372","0.00166391602752811","0.00192617703843057","13.2166952002567","13.1034715378991","00:14","21.4"
"","","","t_sigma_f","2002 MN","19","2452439.585356751","2002-Jun-14 02:03","0.000802120014394821","0.00080149790688339","0.000802742069198423","10.574933617567","10.2560045003333","00:02","23.6"
"","","","h","2003 HW10","10","2452758.766782993","2003-Apr-29 06:24","0.00220629986171607","0.00220414558030993","0.00220845408930842","13.3106958635747","13.2196553255054","< 00:01","27.0"
"","","","","2003 SQ222","8","2452910.455645348","2003-Sep-27 22:56","0.000563056369189049","0.000561596174218194","0.000564516295097979","15.4264792746878","15.116610720933","< 00:01","30.1"
"","","","","2003 UM3","7","2452924.581178546","2003-Oct-12 01:57","0.00185364539944093","0.00150753136645287","0.00220134042529704","12.8947704834191","12.782810820609","21:18","28.1"
"","","","","2003 XJ7","9","2452980.294771002","2003-Dec-06 19:04","0.000990617054842303","0.000989495720613654","0.000991738342991924","16.9288118517048","16.7691752064217","< 00:01","26.4"
"","","","","2004 FU162","11","2453096.149229168","2004-Mar-31 15:35","8.63189689546789e-05","2.32222050518807e-05","0.000196402067904961","13.3906449624196","10.8431411817427","01:32","28.7"
"","","","","2004 HE","8","2453113.514889586","2004-Apr-18 00:21","0.00184974909825208","0.00184800537144953","0.001851492798257","18.2508279793705","18.1717311506894","< 00:01","26.8"
"","","","","2004 RU109","9","2453262.155067049","2004-Sep-13 15:43","0.0024657048538189","0.00245988652781394","0.00247152284351785","12.934160766566","12.8503417606922","< 00:01","26.4"
"","","","","2004 ST26","7","2453270.480235684","2004-Sep-21 23:32","0.00245709319688152","0.00245128362206315","0.00246290264328448","21.3803584056318","21.3295785112717","00:02","26.3"
"","","","","2004 UH1","8","2437232.148673672","1960-Oct-24 15:34","0.00123030862494184","0.00104453984914588","0.00580136300211582","11.794496427383","11.6094248806011","02:50","28.1"
