            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2455040.500000000, A.D. 2009-Jul-28 00:00:00.0000,  4.935292410228236E-01,  1.345935937443122E+08,  5.092767853747724E+00,  1.417491882852918E+02,  4.221304044733683E+01,  2.455269982996242E+06,  4.818073604679210E-06,  2.644704604584880E+02,  2.171560267333038E+02,  2.657480049117258E+08,  3.969024160791394E+08,  7.471865926879483E+07,
2455043.500000000, A.D. 2009-Jul-31 00:00:00.0000,  4.935295993291191E-01,  1.345936985657373E+08,  5.092767819027744E+00,  1.417491861264723E+02,  4.221287020676832E+01,  2.455269982655234E+06,  4.818062863351492E-06,  2.657196572795809E+02,  2.178590633156729E+02,  2.657483998817143E+08,  3.969031011976912E+08,  7.471882584561805E+07,
2455046.500000000, A.D. 2009-Aug-03 00:00:00.0000,  4.935299683724763E-01,  1.345938060341024E+08,  5.092767783200786E+00,  1.417491837329600E+02,  4.221269804251259E+01,  2.455269982317092E+06,  4.818051826707211E-06,  2.669688530406872E+02,  2.185707657174044E+02,  2.657488057123340E+08,  3.969038053905655E+08,  7.471899700299279E+07,
2455049.500000000, A.D. 2009-Aug-06 00:00:00.0000,  4.935303511220159E-01,  1.345939150199214E+08,  5.092767750778647E+00,  1.417491813902311E+02,  4.221252403325617E+01,  2.455269981981487E+06,  4.818040513028679E-06,  2.682180473014446E+02,  2.192914364135138E+02,  2.657492217314429E+08,  3.969045284429643E+08,  7.471917245745607E+07,
2455052.500000000, A.D. 2009-Aug-09 00:00:00.0000,  4.935307495258275E-01,  1.345940246318181E+08,  5.092767724151048E+00,  1.417491792933809E+02,  4.221234837791850E+01,  2.455269981648426E+06,  4.818028942381973E-06,  2.694672394657061E+02,  2.200213903482317E+02,  2.657496472012997E+08,  3.969052697707813E+08,  7.471935189787808E+07,
2455055.500000000, A.D. 2009-Aug-12 00:00:00.0000,  4.935311646430842E-01,  1.345941342151822E+08,  5.092767704139537E+00,  1.417491775604223E+02,  4.221217134593046E+01,  2.455269981318154E+06,  4.818017134803948E-06,  2.707164288608221E+02,  2.207609556588001E+02,  2.657500813852285E+08,  3.969060285552747E+08,  7.471953501357751E+07,
2455058.500000000, A.D. 2009-Aug-15 00:00:00.0000,  4.935315968222097E-01,  1.345942433190345E+08,  5.092767690521629E+00,  1.417491762493564E+02,  4.221199324325105E+01,  2.455269980991065E+06,  4.818005109539203E-06,  2.719656147871666E+02,  2.215104744232745E+02,  2.657505235756763E+08,  3.969068038323181E+08,  7.471972150615478E+07,
2455061.500000000, A.D. 2009-Aug-18 00:00:00.0000,  4.935320458742175E-01,  1.345943516558682E+08,  5.092767682448393E+00,  1.417491753737399E+02,  4.221181438912151E+01,  2.455269980667633E+06,  4.817992884722951E-06,  2.732147965506505E+02,  2.222703034456434E+02,  2.657509731058746E+08,  3.969075945558810E+08,  7.471991109441024E+07,
2455064.500000000, A.D. 2009-Aug-21 00:00:00.0000,  4.935325112237089E-01,  1.345944590655622E+08,  5.092767678751858E+00,  1.417491749152567E+02,  4.221163509906854E+01,  2.455269980348366E+06,  4.817980477164155E-06,  2.744639734866719E+02,  2.230408150875735E+02,  2.657514293578145E+08,  3.969083996500667E+08,  7.472010351770760E+07,
2455067.500000000, A.D. 2009-Aug-24 00:00:00.0000,  4.935329920349497E-01,  1.345945654869558E+08,  5.092767678163688E+00,  1.417491748335834E+02,  4.221145567106009E+01,  2.455269980033761E+06,  4.817967902072833E-06,  2.757131449798853E+02,  2.238223981531768E+02,  2.657518917722746E+08,  3.969092180575935E+08,  7.472029854020350E+07,
2455070.500000000, A.D. 2009-Aug-27 00:00:00.0000,  4.935334873178309E-01,  1.345946709366393E+08,  5.092767679468803E+00,  1.417491750746287E+02,  4.221127637284533E+01,  2.455269979724277E+06,  4.817955172686917E-06,  2.769623104817211E+02,  2.246154588315566E+02,  2.657523598625435E+08,  3.969100487884477E+08,  7.472049595663469E+07,
2455073.500000000, A.D. 2009-Aug-30 00:00:00.0000,  4.935339960230228E-01,  1.345947754920812E+08,  5.092767681609995E+00,  1.417491755784661E+02,  4.221109742946449E+01,  2.455269979420301E+06,  4.817942299820513E-06,  2.782114695262359E+02,  2.254204217009732E+02,  2.657528332310328E+08,  3.969108909699844E+08,  7.472069559932493E+07,
2455076.500000000, A.D. 2009-Sep-02 00:00:00.0000,  4.935345171385083E-01,  1.345948792744837E+08,  5.092767683749063E+00,  1.417491762885622E+02,  4.221091901060159E+01,  2.455269979122136E+06,  4.817929291407046E-06,  2.794606217438955E+02,  2.262377307977949E+02,  2.657533115860784E+08,  3.969117438976732E+08,  7.472089734527098E+07,
2455079.500000000, A.D. 2009-Sep-05 00:00:00.0000,  4.935350498027674E-01,  1.345949824252684E+08,  5.092767685275521E+00,  1.417491771639365E+02,  4.221074121817956E+01,  2.455269978829973E+06,  4.817916152146787E-06,  2.807097668724235E+02,  2.270678507529429E+02,  2.657537947549047E+08,  3.969126070845411E+08,  7.472110112161037E+07,
2455082.500000000, A.D. 2009-Sep-08 00:00:00.0000,  4.935355934508444E-01,  1.345950850684904E+08,  5.092767685738487E+00,  1.417491781961166E+02,  4.221056407565809E+01,  2.455269978543872E+06,  4.817902883440764E-06,  2.819589047624727E+02,  2.279112679975745E+02,  2.657542826860570E+08,  3.969134803036237E+08,  7.472130690664765E+07,
2455085.500000000, A.D. 2009-Sep-11 00:00:00.0000,  4.935361480109134E-01,  1.345951872485219E+08,  5.092767684658137E+00,  1.417491794328723E+02,  4.221038752262012E+01,  2.455269978263739E+06,  4.817889483931898E-06,  2.832080353733979E+02,  2.287684920378212E+02,  2.657547754295053E+08,  3.969143636104887E+08,  7.472151472146319E+07,
2455088.500000000, A.D. 2009-Sep-14 00:00:00.0000,  4.935367141621212E-01,  1.345952888293145E+08,  5.092767681153119E+00,  1.417491810102935E+02,  4.221021142235473E+01,  2.455269977989316E+06,  4.817875951234685E-06,  2.844571587491859E+02,  2.296400567950311E+02,  2.657552730730397E+08,  3.969152573167650E+08,  7.472172460308826E+07,
2455091.500000000, A.D. 2009-Sep-17 00:00:00.0000,  4.935372936401535E-01,  1.345953893403816E+08,  5.092767673309967E+00,  1.417491831922762E+02,  4.221003559759302E+01,  2.455269977720176E+06,  4.817862285844554E-06,  2.857062749559732E+02,  2.305265220033221E+02,  2.657557755985104E+08,  3.969161618566391E+08,  7.472193654387389E+07,
2455094.500000000, A.D. 2009-Sep-20 00:00:00.0000,  4.935378895079210E-01,  1.345954877645441E+08,  5.092767657263254E+00,  1.417491864087216E+02,  4.220985992049487E+01,  2.455269977455776E+06,  4.817848498671724E-06,  2.869553839513149E+02,  2.314284746533650E+02,  2.657562826047757E+08,  3.969170774450072E+08,  7.472215037464371E+07,
2455097.500000000, A.D. 2009-Sep-23 00:00:00.0000,  4.935385061590221E-01,  1.345955823036497E+08,  5.092767626151248E+00,  1.417491912657376E+02,  4.220968449176765E+01,  2.455269977195600E+06,  4.817834623570454E-06,  2.882044853506729E+02,  2.323465304808397E+02,  2.657567928469422E+08,  3.969180033902347E+08,  7.472236557036640E+07,
2455100.500000000, A.D. 2009-Sep-26 00:00:00.0000,  4.935391485911437E-01,  1.345956702616296E+08,  5.092767569613946E+00,  1.417491984712685E+02,  4.220950992710414E+01,  2.455269976939459E+06,  4.817820733985312E-06,  2.894535780889923E+02,  2.332813355449691E+02,  2.657573036241907E+08,  3.969189369867518E+08,  7.472258099196795E+07,
2455103.500000000, A.D. 2009-Sep-29 00:00:00.0000,  4.935398203782945E-01,  1.345957483391734E+08,  5.092767475276498E+00,  1.417492086000789E+02,  4.220933768028453E+01,  2.455269976687940E+06,  4.817806956063048E-06,  2.907026600962578E+02,  2.342335680517505E+02,  2.657578102975601E+08,  3.969198722559468E+08,  7.472279468295260E+07,
2455106.500000000, A.D. 2009-Oct-02 00:00:00.0000,  4.935405203716032E-01,  1.345958136649015E+08,  5.092767333832695E+00,  1.417492216843076E+02,  4.220917014860827E+01,  2.455269976442801E+06,  4.817793460362915E-06,  2.919517283186605E+02,  2.352039406996205E+02,  2.657583065947510E+08,  3.969207995246005E+08,  7.472300399795094E+07,
2455109.500000000, A.D. 2009-Oct-05 00:00:00.0000,  4.935412399066578E-01,  1.345958654119811E+08,  5.092767146986005E+00,  1.417492368275652E+02,  4.220901019999253E+01,  2.455269976206858E+06,  4.817780414906547E-06,  2.932007794738295E+02,  2.361932037220564E+02,  2.657587863366695E+08,  3.969217072613579E+08,  7.472320633089358E+07,
2455112.500000000, A.D. 2009-Oct-08 00:00:00.0000,  4.935419636406129E-01,  1.345959059134891E+08,  5.092766932813407E+00,  1.417492522334617E+02,  4.220886011118190E+01,  2.455269975983070E+06,  4.817767913349054E-06,  2.944498114058773E+02,  2.372021482586612E+02,  2.657592460789360E+08,  3.969225862443830E+08,  7.472340022907981E+07,
2455115.500000000, A.D. 2009-Oct-11 00:00:00.0000,  4.935426748443828E-01,  1.345959400602163E+08,  5.092766722471980E+00,  1.417492658013235E+02,  4.220872061756915E+01,  2.455269975773301E+06,  4.817755931799511E-06,  2.956988240807598E+02,  2.382316092089111E+02,  2.657596866998805E+08,  3.969234333395447E+08,  7.472358606292745E+07,
2455118.500000000, A.D. 2009-Oct-14 00:00:00.0000,  4.935433613624246E-01,  1.345959732895728E+08,  5.092766549937111E+00,  1.417492758674670E+02,  4.220859085098418E+01,  2.455269975577720E+06,  4.817744351760700E-06,  2.969478193829797E+02,  2.392824672162287E+02,  2.657601125570215E+08,  3.969242518244701E+08,  7.472376567022155E+07,
2455121.500000000, A.D. 2009-Oct-17 00:00:00.0000,  4.935440180021918E-01,  1.345960097879653E+08,  5.092766443097005E+00,  1.417492815523395E+02,  4.220846906729614E+01,  2.455269975395156E+06,  4.817733022550820E-06,  2.981968000462116E+02,  2.403556504240876E+02,  2.657605291915532E+08,  3.969250485951412E+08,  7.472394138797519E+07,
2455124.500000000, A.D. 2009-Oct-20 00:00:00.0000,  4.935446452021584E-01,  1.345960518969407E+08,  5.092766421181587E+00,  1.417492826452152E+02,  4.220835345444350E+01,  2.455269975223845E+06,  4.817721812193580E-06,  2.994457686577401E+02,  2.414521367918045E+02,  2.657609414568566E+08,  3.969258310167725E+08,  7.472411526311991E+07,
2455127.500000000, A.D. 2009-Oct-23 00:00:00.0000,  4.935452464594821E-01,  1.345961004383116E+08,  5.092766496915488E+00,  1.417492793077000E+02,  4.220824257550691E+01,  2.455269975062021E+06,  4.817710626665577E-06,  3.006947272033988E+02,  2.425729571470356E+02,  2.657613528106486E+08,  3.969266051829856E+08,  7.472428875396411E+07,
2455130.500000000, A.D. 2009-Oct-26 00:00:00.0000,  4.935458263316016E-01,  1.345961552976521E+08,  5.092766679917276E+00,  1.417492718251210E+02,  4.220813546437819E+01,  2.455269974908165E+06,  4.817699407082251E-06,  3.019436770431514E+02,  2.437191987393701E+02,  2.657617654184425E+08,  3.969273755392329E+08,  7.472446277382575E+07,
2455133.500000000, A.D. 2009-Oct-29 00:00:00.0000,  4.935463894000388E-01,  1.345962158929458E+08,  5.092766979429920E+00,  1.417492604667156E+02,  4.220803155372952E+01,  2.455269974761056E+06,  4.817688119320761E-06,  3.031926190624214E+02,  2.448920090621795E+02,  2.657621805351506E+08,  3.969281451773555E+08,  7.472463785197367E+07,
2455136.500000000, A.D. 2009-Nov-01 00:00:00.0000,  4.935469399172454E-01,  1.345962814534413E+08,  5.092767406041781E+00,  1.417492454283533E+02,  4.220793056658934E+01,  2.455269974619709E+06,  4.817676744086993E-06,  3.044415538398309E+02,  2.460925998427913E+02,  2.657625988703637E+08,  3.969289162872860E+08,  7.472481428768511E+07,
2455139.500000000, A.D. 2009-Nov-04 00:00:00.0000,  4.935474818001194E-01,  1.345963511548078E+08,  5.092767972686461E+00,  1.417492268190653E+02,  4.220783242630952E+01,  2.455269974483315E+06,  4.817665269751330E-06,  3.056904817754880E+02,  2.473222511876913E+02,  2.657630208518125E+08,  3.969296905488172E+08,  7.472499226136188E+07,
2455142.500000000, A.D. 2009-Nov-07 00:00:00.0000,  4.935480187583004E-01,  1.345964241704198E+08,  5.092768695270329E+00,  1.417492046653408E+02,  4.220773719618471E+01,  2.455269974351181E+06,  4.817653687764495E-06,  3.069394031752934E+02,  2.485823158975328E+02,  2.657634467939515E+08,  3.969304694174833E+08,  7.472517190563121E+07,
2455145.500000000, A.D. 2009-Nov-10 00:00:00.0000,  4.935485544564336E-01,  1.345964996806600E+08,  5.092769593177627E+00,  1.417491789198983E+02,  4.220764504423074E+01,  2.455269974222687E+06,  4.817641989842731E-06,  3.081883183023306E+02,  2.498742239660375E+02,  2.657638770014758E+08,  3.969312543222916E+08,  7.472535334900466E+07,
2455148.500000000, A.D. 2009-Nov-13 00:00:00.0000,  4.935490926734167E-01,  1.345965768638106E+08,  5.092770689805969E+00,  1.417491494693536E+02,  4.220755622574718E+01,  2.455269974097262E+06,  4.817630166184603E-06,  3.094372274072686E+02,  2.511994872670822E+02,  2.657643118349009E+08,  3.969320468059913E+08,  7.472553674353704E+07,
2455151.500000000, A.D. 2009-Nov-16 00:00:00.0000,  4.935496374516676E-01,  1.345966548803237E+08,  5.092772013224348E+00,  1.417491161389615E+02,  4.220747107744910E+01,  2.455269973974363E+06,  4.817618204185621E-06,  3.106861307467935E+02,  2.525597044228391E+02,  2.657647517578362E+08,  3.969328486353487E+08,  7.472572228476438E+07,
2455154.500000000, A.D. 2009-Nov-19 00:00:00.0000,  4.935501932420036E-01,  1.345967328557363E+08,  5.092773597015049E+00,  1.417490786942247E+02,  4.220739001879963E+01,  2.455269973853469E+06,  4.817606087288305E-06,  3.119350285960858E+02,  2.539565658339728E+02,  2.657651973792782E+08,  3.969336619028201E+08,  7.472591022954179E+07,
2455157.500000000, A.D. 2009-Nov-22 00:00:00.0000,  4.935507650551877E-01,  1.345968098640722E+08,  5.092775481352133E+00,  1.417490368396574E+02,  4.220731355781131E+01,  2.455269973734068E+06,  4.817593793710924E-06,  3.131839212592320E+02,  2.553918588400650E+02,  2.657656495003673E+08,  3.969344891366625E+08,  7.472610091576383E+07,
2455160.500000000, A.D. 2009-Nov-25 00:00:00.0000,  4.935513586341947E-01,  1.345968849116697E+08,  5.092777714372811E+00,  1.417489902150867E+02,  4.220724229987556E+01,  2.455269973615654E+06,  4.817581294857802E-06,  3.144328090800332E+02,  2.568674729635363E+02,  2.657661091728570E+08,  3.969353334340442E+08,  7.472629478702465E+07,
2455163.500000000, A.D. 2009-Nov-28 00:00:00.0000,  4.935519806639677E-01,  1.345969569206219E+08,  5.092780353900728E+00,  1.417489383899885E+02,  4.220717695869318E+01,  2.455269973497719E+06,  4.817568553215404E-06,  3.156816924550416E+02,  2.583854051727790E+02,  2.657665777764958E+08,  3.969361986323698E+08,  7.472649242525551E+07,
2455166.500000000, A.D. 2009-Dec-01 00:00:00.0000,  4.935526390388550E-01,  1.345970247099275E+08,  5.092783469592529E+00,  1.417488808563013E+02,  4.220711836937141E+01,  2.455269973379749E+06,  4.817555519548372E-06,  3.169305718499095E+02,  2.599477650782087E+02,  2.657670571221594E+08,  3.969370895343913E+08,  7.472669459422205E+07,
2455169.500000000, A.D. 2009-Dec-04 00:00:00.0000,  4.935533432118023E-01,  1.345970869714718E+08,  5.092787145589964E+00,  1.417488170202359E+02,  4.220706750465397E+01,  2.455269973261214E+06,  4.817542129206575E-06,  3.181794478194986E+02,  2.615567799479190E+02,  2.657675495876794E+08,  3.969380122038871E+08,  7.472690229681297E+07,
2455172.500000000, A.D. 2009-Dec-07 00:00:00.0000,  4.935541046523631E-01,  1.345971422358950E+08,  5.092791483791712E+00,  1.417487461933874E+02,  4.220702549760086E+01,  2.455269973141559E+06,  4.817528297422390E-06,  3.194283210306560E+02,  2.632147993954744E+02,  2.657680582908156E+08,  3.969389743457362E+08,  7.472711684799390E+07,
2455175.500000000, A.D. 2009-Dec-10 00:00:00.0000,  4.935549374401996E-01,  1.345971888205663E+08,  5.092796607934514E+00,  1.417486675828130E+02,  4.220699367807822E+01,  2.455269973020206E+06,  4.817513913635465E-06,  3.206771922840380E+02,  2.649242995499042E+02,  2.657685872980017E+08,  3.969399857754372E+08,  7.472733996285053E+07,
2455178.500000000, A.D. 2009-Dec-13 00:00:00.0000,  4.935558590045547E-01,  1.345972247489120E+08,  5.092802668823217E+00,  1.417485802785323E+02,  4.220697363687817E+01,  2.455269972896555E+06,  4.817498835272529E-06,  3.219260625264631E+02,  2.666878864653409E+02,  2.657691418531438E+08,  3.969410589573755E+08,  7.472757385308939E+07,
2455181.500000000, A.D. 2009-Dec-16 00:00:00.0000,  4.935568909694371E-01,  1.345972476289481E+08,  5.092809851423044E+00,  1.417484832336433E+02,  4.220696734155536E+01,  2.455269972770023E+06,  4.817482882209091E-06,  3.231749328368637E+02,  2.685082984637592E+02,  2.657697285813506E+08,  3.969422095337532E+08,  7.472782131296736E+07,
2455184.500000000, A.D. 2009-Dec-19 00:00:00.0000,  4.935580599591247E-01,  1.345972544859386E+08,  5.092818385406933E+00,  1.417483752249303E+02,  4.220697733901032E+01,  2.455269972640135E+06,  4.817465834259988E-06,  3.244238043595625E+02,  2.703884070327190E+02,  2.657703555812837E+08,  3.969434566766288E+08,  7.472808575824590E+07,
