#LOCATION AND RADIUS OF ALL RESONANT CIRCLES
# k   h         D (ER)         R (ER)
#====================================================
  1   1 -5.1452999E-01  5.5012903E-01
  1   2 -2.5280041E-01  1.3145995E-01
  2   1 -1.4794331E+00  1.5931869E+00
  2   3 -3.3258945E-01  2.9959600E-01
  3   1 -6.0677118E+00  6.2167887E+00
  3   2 -8.8327012E-01  9.6806704E-01
  3   4 -3.7485074E-01  3.6510772E-01
  3   5 -2.9999966E-01  2.4210898E-01
  4   1  8.1569376E+00  7.9858017E+00
  4   3 -7.4310687E-01  8.1481835E-01
  4   5 -4.0112812E-01  4.0271674E-01
  4   7 -2.8632454E-01  2.1490052E-01
  5   1  3.2205753E+00  3.0337652E+00
  5   2 -2.6479655E+00  2.7818390E+00
  5   3 -1.0473002E+00  1.1431535E+00
  5   4 -6.8026214E-01  7.4443375E-01
  5   6 -4.1906762E-01  4.2742057E-01
  5   7 -3.5651568E-01  3.3759825E-01
  5   8 -3.1210443E-01  2.6445309E-01
  5   9 -2.7879628E-01  1.9873743E-01
  5  11 -2.3188858E-01  1.9808592E-02
  6   1  2.2492868E+00  2.0505123E+00
  6   5 -6.4455265E-01  7.0380435E-01
  6   7 -4.3209997E-01  4.4496060E-01
  6  11 -2.7403000E-01  1.8794238E-01
  6  13 -2.3508738E-01  5.4029790E-02
  7   1  1.8318220E+00  1.6234851E+00
  7   2 -2.5172766E+02  2.5188883E+02
  7   3 -2.1496957E+00  2.2775380E+00
  7   4 -1.1404484E+00  1.2412363E+00
  7   5 -7.9668296E-01  8.7391509E-01
  7   6 -6.2151461E-01  6.7729800E-01
  7   8 -4.4199840E-01  4.5808177E-01
  7   9 -3.8935849E-01  3.8610357E-01
  7  10 -3.4927727E-01  3.2638331E-01
  7  11 -3.1765174E-01  2.7426343E-01
  7  12 -2.9200261E-01  2.2649456E-01
  7  13 -2.7074104E-01  1.8018995E-01
  7  15 -2.3743720E-01  6.9198674E-02
  8   1  1.5983705E+00  1.3821415E+00
  8   3 -3.3407758E+00  3.4801490E+00
  8   5 -9.7841136E-01  1.0700481E+00
  8   7 -6.0541651E-01  6.5862154E-01
  8   9 -4.4977288E-01  4.6827638E-01
  8  11 -3.6314282E-01  3.4768108E-01
  8  13 -3.0743285E-01  2.5599317E-01
  8  15 -2.6833462E-01  1.7433876E-01
  8  17 -2.3923649E-01  7.8912737E-02
  9   1  1.4486246E+00  1.2257248E+00
  9   2  4.4393788E+00  4.2598227E+00
  9   4 -1.9494346E+00  2.0740316E+00
  9   5 -1.2005371E+00  1.3041244E+00
  9   7 -7.0666495E-01  7.7416234E-01
  9   8 -5.9353169E-01  6.4474397E-01
  9  10 -4.5604118E-01  4.7642951E-01
  9  11 -4.1086997E-01  4.1621789E-01
  9  13 -3.4540150E-01  3.2028418E-01
  9  14 -3.2083471E-01  2.7978683E-01
  9  16 -2.8208403E-01  2.0591842E-01
  9  17 -2.6649748E-01  1.6975905E-01
  9  19 -2.4065846E-01  8.5841985E-02
